iter	Passed	Remaining
180	240	1086
181	241	1083
182	241	1080
183	242	1077
184	243	1074
185	245	1072
186	246	1069
187	247	1067
188	248	1064
189	248	1061
190	249	1058
191	250	1055
192	252	1053
193	253	1051
194	254	1049
195	255	1047
196	256	1044
197	257	1042
198	258	1040
199	259	1038
200	260	1035
201	261	1033
202	262	1031
203	263	1029
204	264	1027
205	265	1024
206	266	1022
207	267	1020
208	268	1017
209	270	1015
210	271	1014
211	272	1012
212	273	1009
213	274	1008
214	275	1005
215	276	1002
216	277	1000
217	278	997
218	279	996
219	280	994
220	282	996
221	283	993
222	284	991
223	286	991
224	287	989
225	288	987
226	289	984
227	290	982
228	291	979
229	292	977
230	293	975
231	293	972
232	294	970
233	295	967
234	296	964
235	297	962
236	298	960
237	299	958
238	300	955
239	301	953
240	302	952
241	303	950
242	304	948
243	305	946
244	306	944
245	307	942
246	308	940
247	309	938
248	310	936
249	311	933
250	312	931
251	313	930
252	314	927
253	315	925
254	316	923
255	316	921
256	317	919
257	318	916
258	319	914
259	320	912
260	321	911
261	322	908
262	323	906
263	324	903
264	324	901
265	326	899
266	327	898
267	328	896
268	329	894
269	330	892
270	330	890
271	331	888
272	333	887
273	334	885
274	335	883
275	336	882
276	337	880
277	338	878
278	338	875
279	339	873
280	341	872
281	342	871
282	343	869
283	344	868
284	346	869
285	347	868
286	350	870
287	351	868
288	352	867
289	353	866
290	354	864
291	355	861
292	356	859
293	356	856
294	357	854
295	358	852
296	359	850
297	360	848
298	360	846
299	361	844
300	362	842
301	363	840
302	364	839
303	365	837
304	367	836
305	368	834
306	369	833
307	370	831
308	371	830
309	372	828
310	373	827
311	374	826
312	376	825
313	377	823
314	378	822
315	378	820
316	380	818
317	381	817
318	381	815
319	382	813
320	383	811
321	384	810
322	385	808
323	386	806
324	387	804
325	388	803
326	389	801
327	390	800
328	391	798
329	392	796
330	394	797
331	395	795
332	396	794
333	397	792
334	398	791
335	399	789
336	400	787
337	401	785
338	402	784
339	403	782
340	404	781
341	405	780
342	406	778
343	407	776
344	408	775
345	409	773
346	410	772
347	411	770
348	412	769
349	413	767
350	414	766
351	415	765
352	416	763
353	417	762
354	418	760
355	419	759
356	421	758
357	422	757
358	423	755
359	424	754
360	425	752
361	426	750
362	427	749
363	428	747
364	428	746
365	429	744
366	430	743
367	431	741
368	432	740
369	433	738
370	434	736
371	435	735
372	436	733
373	437	731
374	438	730
375	439	728
376	439	727
377	440	725
378	441	723
379	442	722
380	443	720
381	444	718
382	445	717
383	446	715
384	447	714
385	449	715
386	451	715
387	453	715
388	456	717
389	458	717
390	460	716
391	461	715
392	462	713
393	463	712
394	464	711
395	465	709
396	466	708
397	467	706
398	468	705
399	469	704
400	470	702
401	471	701
402	471	699
403	472	697
404	473	696
405	474	694
406	475	693
407	476	691
408	477	690
409	478	688
410	479	687
411	480	685
412	481	684
413	482	682
414	483	681
415	484	679
416	485	678
417	486	676
418	487	675
419	488	673
420	488	672
421	489	670
422	490	669
423	491	668
424	492	666
425	493	664
426	495	664
427	496	663
428	497	661
429	497	660
430	499	660
431	500	658
432	501	657
433	503	656
434	504	654
435	505	653
436	506	652
437	507	650
438	508	649
439	509	647
440	509	646
441	510	644
442	511	643
443	512	641
444	513	640
445	514	639
446	515	637
447	516	636
448	517	634
449	518	633
450	519	632
451	520	630
452	521	629
453	522	628
454	523	626
455	524	625
456	524	623
457	525	622
458	526	620
459	527	619
460	528	617
461	530	617
462	531	616
463	532	614
464	534	614
465	535	613
466	537	612
467	538	611
468	540	611
469	541	611
470	542	609
471	545	609
472	546	608
473	548	608
474	549	607
475	550	605
476	551	604
477	552	603
478	553	602
479	554	600
480	556	600
481	557	599
482	558	597
483	559	596
484	560	595
485	561	594
486	562	592
487	563	591
488	564	589
489	564	588
490	565	586
491	566	585
492	567	583
493	570	584
494	572	583
